Character,Image_URL
Firestorm,https://static.wikia.nocookie.net/marvel_dc/images/8/8c/Lazarus_Planet_Legends_Reborn_Vol_1_1_Textless_Sarmento_Variant.jpg/revision/latest/scale-to-width-down/334?cb=20230205133724
Flash,https://static.wikia.nocookie.net/marvel_dc/images/8/86/The_Flash_Vol_1_768_Textless_Variant.jpg/revision/latest/scale-to-width-down/350?cb=20210329143920
Flash Gordon,https://static.wikia.nocookie.net/marvel_dc/images/d/d2/Flash_Gordon_Vol_1_1.jpg/revision/latest/scale-to-width-down/320?cb=20101018232643
Flash II,None
Flash III,None
Flash IV,None
Forge,None
Franklin Richards,None
Frenzy,https://static.wikia.nocookie.net/marvel_dc/images/7/78/Lloyd_Jefferson.png/revision/latest/scale-to-width-down/251?cb=20110322110247
Frigga,https://static.wikia.nocookie.net/marvel_dc/images/5/56/Frigga_Prime_Earth_001.jpg/revision/latest/scale-to-width-down/350?cb=20180212164232
