Character,Image_URL
Doctor Strange,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Doctor_Strange_Vol_4_2_Ross_Variant_Textless.jpg/220px-Doctor_Strange_Vol_4_2_Ross_Variant_Textless.jpg
Domino,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Dominospiel.JPG/240px-Dominospiel.JPG
Donatello,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Cinq_ma%C3%AEtres_de_la_Renaissance_florentine_Mus%C3%A9e_du_Louvre_Peintures_INV_267_-_Donatello.jpg/220px-Cinq_ma%C3%AEtres_de_la_Renaissance_florentine_Mus%C3%A9e_du_Louvre_Peintures_INV_267_-_Donatello.jpg
Donna Troy,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Donna_Troy.png/220px-Donna_Troy.png
Doomsday,https://static.wikia.nocookie.net/marvel_dc/images/8/81/The_Death_of_Superman_30th_Anniversary_Special_Vol_1_1_Textless_Mattina_Variant.jpg/revision/latest/scale-to-width-down/333?cb=20221117054734
Doppelganger,https://static.wikia.nocookie.net/marvel_dc/images/d/d5/Doppelganger_001.jpg/revision/latest/scale-to-width-down/350?cb=20180712135918
Dormammu,https://upload.wikimedia.org/wikipedia/en/8/85/Dormammu.jpg
Dr Manhattan,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Doctor_Manhattan.png/220px-Doctor_Manhattan.png
Drax the Destroyer,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Drax-cover.jpg/220px-Drax-cover.jpg
Elastigirl,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Helen_Parr.png/220px-Helen_Parr.png
Electro,https://static.wikia.nocookie.net/marvel_dc/images/3/35/Electro.png/revision/latest/scale-to-width-down/350?cb=20190130072052
Elle Bishop,https://upload.wikimedia.org/wikipedia/en/b/b3/Elle_Bishop_Heroes.jpg
Elongated Man,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Elongated_Man.jpg/220px-Elongated_Man.jpg
Emma Frost,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Emma_Frost_%28Modern%29.webp/220px-Emma_Frost_%28Modern%29.webp.png
Enchantress,https://static.wikia.nocookie.net/marvel_dc/images/3/30/Enchantress_Prime_Earth_001.jpg/revision/latest/scale-to-width-down/350?cb=20171218162407
Energy,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Energy_Arc_%28central_electrode_of_a_Plasma_Lamp%29.jpg/250px-Energy_Arc_%28central_electrode_of_a_Plasma_Lamp%29.jpg
Ethan Hunt,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Ethan_Hunt_MI.jpg/220px-Ethan_Hunt_MI.jpg
Etrigan,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Etrigan_the_Demon.png/220px-Etrigan_the_Demon.png
